Aeshnidae , GenomeSize , GenomeSE , 0.6421426
Aeshnidae , GenomeSize , BodyWeight , 0.6429189
Aeshnidae , GenomeSize , TotalLength , 0.6213614
Aeshnidae , GenomeSize , HeadLength , 0.7379105
Aeshnidae , GenomeSize , ThoraxLength , 0.2411973
Aeshnidae , GenomeSize , AdbdomenLength , 0.653227
Aeshnidae , GenomeSize , ForewingLength , 0.588636
Aeshnidae , GenomeSize , HindwingLength , 0.6206985
Aeshnidae , GenomeSize , ForewingArea , 0.6936583
Aeshnidae , GenomeSize , HindwingArea , 0.7036569
Aeshnidae , GenomeSE , BodyWeight , 0.5486279
Aeshnidae , GenomeSE , TotalLength , 0.5357647
Aeshnidae , GenomeSE , HeadLength , 0.5449829
Aeshnidae , GenomeSE , ThoraxLength , 0.3279853
Aeshnidae , GenomeSE , AdbdomenLength , 0.5449944
Aeshnidae , GenomeSE , ForewingLength , 0.5077738
Aeshnidae , GenomeSE , HindwingLength , 0.5211705
Aeshnidae , GenomeSE , ForewingArea , 0.5547262
Aeshnidae , GenomeSE , HindwingArea , 0.5542479
Aeshnidae , BodyWeight , TotalLength , 0.9488492
Aeshnidae , BodyWeight , HeadLength , 0.7975817
Aeshnidae , BodyWeight , ThoraxLength , 0.8494016
Aeshnidae , BodyWeight , AdbdomenLength , 0.9212023
Aeshnidae , BodyWeight , ForewingLength , 0.8777391
Aeshnidae , BodyWeight , HindwingLength , 0.8807337
Aeshnidae , BodyWeight , ForewingArea , 0.892256
Aeshnidae , BodyWeight , HindwingArea , 0.8633651
Aeshnidae , TotalLength , HeadLength , 0.7828517
Aeshnidae , TotalLength , ThoraxLength , 0.8225361
Aeshnidae , TotalLength , AdbdomenLength , 0.9918641
Aeshnidae , TotalLength , ForewingLength , 0.8842575
Aeshnidae , TotalLength , HindwingLength , 0.883322
Aeshnidae , TotalLength , ForewingArea , 0.8837744
Aeshnidae , TotalLength , HindwingArea , 0.85578
Aeshnidae , HeadLength , ThoraxLength , 0.5834911
Aeshnidae , HeadLength , AdbdomenLength , 0.7555105
Aeshnidae , HeadLength , ForewingLength , 0.9004684
Aeshnidae , HeadLength , HindwingLength , 0.9121381
Aeshnidae , HeadLength , ForewingArea , 0.9309914
Aeshnidae , HeadLength , HindwingArea , 0.9360529
Aeshnidae , ThoraxLength , AdbdomenLength , 0.7503297
Aeshnidae , ThoraxLength , ForewingLength , 0.7859675
Aeshnidae , ThoraxLength , HindwingLength , 0.772023
Aeshnidae , ThoraxLength , ForewingArea , 0.7282216
Aeshnidae , ThoraxLength , HindwingArea , 0.6843892
Aeshnidae , AdbdomenLength , ForewingLength , 0.8457971
Aeshnidae , AdbdomenLength , HindwingLength , 0.84666
Aeshnidae , AdbdomenLength , ForewingArea , 0.855175
Aeshnidae , AdbdomenLength , HindwingArea , 0.8295767
Aeshnidae , ForewingLength , HindwingLength , 0.9986147
Aeshnidae , ForewingLength , ForewingArea , 0.981937
Aeshnidae , ForewingLength , HindwingArea , 0.9761281
Aeshnidae , HindwingLength , ForewingArea , 0.9871749
Aeshnidae , HindwingLength , HindwingArea , 0.9833449
Aeshnidae , ForewingArea , HindwingArea , 0.9966191
Calopterygidae , GenomeSize , GenomeSE , 0.1136848
Calopterygidae , GenomeSize , BodyWeight , -0.305612
Calopterygidae , GenomeSize , TotalLength , -0.4513027
Calopterygidae , GenomeSize , HeadLength , -0.4785834
Calopterygidae , GenomeSize , ThoraxLength , -0.5371501
Calopterygidae , GenomeSize , AdbdomenLength , -0.4233027
Calopterygidae , GenomeSize , ForewingLength , -0.2837283
Calopterygidae , GenomeSize , HindwingLength , -0.3034634
Calopterygidae , GenomeSize , ForewingArea , -0.149432
Calopterygidae , GenomeSize , HindwingArea , -0.1311475
Calopterygidae , GenomeSE , BodyWeight , -0.2548473
Calopterygidae , GenomeSE , TotalLength , -0.1278521
Calopterygidae , GenomeSE , HeadLength , -0.2347516
Calopterygidae , GenomeSE , ThoraxLength , -0.3061581
Calopterygidae , GenomeSE , AdbdomenLength , -0.08430382
Calopterygidae , GenomeSE , ForewingLength , -0.2473627
Calopterygidae , GenomeSE , HindwingLength , -0.2408305
Calopterygidae , GenomeSE , ForewingArea , -0.1621363
Calopterygidae , GenomeSE , HindwingArea , -0.1519759
Calopterygidae , BodyWeight , TotalLength , 0.8762385
Calopterygidae , BodyWeight , HeadLength , 0.8641503
Calopterygidae , BodyWeight , ThoraxLength , 0.8959898
Calopterygidae , BodyWeight , AdbdomenLength , 0.854659
Calopterygidae , BodyWeight , ForewingLength , 0.9225547
Calopterygidae , BodyWeight , HindwingLength , 0.9256964
Calopterygidae , BodyWeight , ForewingArea , 0.9171248
Calopterygidae , BodyWeight , HindwingArea , 0.9068877
Calopterygidae , TotalLength , HeadLength , 0.8603285
Calopterygidae , TotalLength , ThoraxLength , 0.953611
Calopterygidae , TotalLength , AdbdomenLength , 0.9967652
Calopterygidae , TotalLength , ForewingLength , 0.9308394
Calopterygidae , TotalLength , HindwingLength , 0.9401604
Calopterygidae , TotalLength , ForewingArea , 0.83037
Calopterygidae , TotalLength , HindwingArea , 0.8127357
Calopterygidae , HeadLength , ThoraxLength , 0.9002739
Calopterygidae , HeadLength , AdbdomenLength , 0.8248246
Calopterygidae , HeadLength , ForewingLength , 0.8917216
Calopterygidae , HeadLength , HindwingLength , 0.8915011
Calopterygidae , HeadLength , ForewingArea , 0.799353
Calopterygidae , HeadLength , HindwingArea , 0.7761553
Calopterygidae , ThoraxLength , AdbdomenLength , 0.9280405
Calopterygidae , ThoraxLength , ForewingLength , 0.9029753
Calopterygidae , ThoraxLength , HindwingLength , 0.9079584
Calopterygidae , ThoraxLength , ForewingArea , 0.7721356
Calopterygidae , ThoraxLength , HindwingArea , 0.7495828
Calopterygidae , AdbdomenLength , ForewingLength , 0.9188217
Calopterygidae , AdbdomenLength , HindwingLength , 0.9294001
Calopterygidae , AdbdomenLength , ForewingArea , 0.8256694
Calopterygidae , AdbdomenLength , HindwingArea , 0.8097148
Calopterygidae , ForewingLength , HindwingLength , 0.9977253
